
2019 04 18 10:55:23 GroundStation_Test.py   line:76  INFO  fangdasuoxiaoMap1_2 function start

2019 04 18 10:55:54 GroundStation_Test.py   line:109  INFO  fangdasuoxiaoMap1_2 function ends

2019 04 18 10:55:57 GroundStation_Test.py   line:114  INFO  topmessageMap1_4 function start

2019 04 18 10:56:05 GroundStation_Test.py   line:150  INFO  topmessageMap1_4 function ends

2019 04 18 10:56:05 GroundStation_Test.py   line:154  INFO  rightfunctionMap1_5 function start

2019 04 18 10:56:11 GroundStation_Test.py   line:180  INFO  rightfunctionMap1_5 function ends

2019 04 18 10:56:13 GroundStation_Test.py   line:184  INFO  directionMap2_1 function start

2019 04 18 10:56:24 GroundStation_Test.py   line:206  INFO  directionMap2_1 function ends

2019 04 18 10:56:26 GroundStation_Test.py   line:210  INFO  modeMap3_1 function start

2019 04 18 10:56:40 GroundStation_Test.py   line:232  INFO  modeMap3_1 function ends

2019 04 18 10:56:42 GroundStation_Test.py   line:238  INFO  flyMode4_1 function start

2019 04 18 10:56:51 GroundStation_Test.py   line:301  INFO  flyMode4_1 function ends

2019 04 18 10:56:51 GroundStation_Test.py   line:443  INFO  choiceflyMode4_2 function start

2019 04 18 10:56:51 GroundStation_Test.py   line:306  INFO  DynamicTrackMode0_1 function start

2019 04 18 10:56:51 GroundStation_Test.py   line:238  INFO  flyMode4_1 function start

2019 04 18 10:57:10 GroundStation_Test.py   line:301  INFO  flyMode4_1 function ends

2019 04 18 10:57:16 GroundStation_Test.py   line:327  INFO  DynamicTrackMode0_1 function ends

2019 04 18 10:57:17 GroundStation_Test.py   line:359  INFO  OrbitMode0_3 function start

2019 04 18 10:57:17 GroundStation_Test.py   line:238  INFO  flyMode4_1 function start

2019 04 18 10:57:40 GroundStation_Test.py   line:301  INFO  flyMode4_1 function ends

2019 04 18 10:57:49 GroundStation_Test.py   line:386  INFO  OrbitMode0_3 function ends

2019 04 18 10:57:50 GroundStation_Test.py   line:391  INFO  WaypointMode0_4 function start

2019 04 18 10:57:50 GroundStation_Test.py   line:238  INFO  flyMode4_1 function start

2019 04 18 10:58:14 GroundStation_Test.py   line:301  INFO  flyMode4_1 function ends

2019 04 18 10:58:28 GroundStation_Test.py   line:420  INFO  WaypointMode0_4 function ends

2019 04 18 10:58:29 GroundStation_Test.py   line:425  INFO  VRMode0_5 function start

2019 04 18 10:58:29 GroundStation_Test.py   line:238  INFO  flyMode4_1 function start

2019 04 18 10:58:52 GroundStation_Test.py   line:301  INFO  flyMode4_1 function ends

2019 04 18 10:58:55 GroundStation_Test.py   line:438  INFO  VRMode0_5 function ends

2019 04 18 10:58:56 GroundStation_Test.py   line:332  INFO  ViewpointMode0_2 function start

2019 04 18 10:58:56 GroundStation_Test.py   line:238  INFO  flyMode4_1 function start

2019 04 18 10:59:35 GroundStation_Test.py   line:301  INFO  flyMode4_1 function ends

2019 04 18 10:59:43 GroundStation_Test.py   line:354  INFO  ViewpointMode0_2 function ends

2019 04 18 10:59:44 GroundStation_Test.py   line:457  INFO  choiceflyMode4_2 function ends

2019 04 18 10:59:44 GroundStation_Test.py   line:461  INFO  simpleOrbitMode5_2 function start

2019 04 18 10:59:44 GroundStation_Test.py   line:359  INFO  OrbitMode0_3 function start

2019 04 18 10:59:44 GroundStation_Test.py   line:238  INFO  flyMode4_1 function start

2019 04 18 11:00:08 GroundStation_Test.py   line:301  INFO  flyMode4_1 function ends

2019 04 18 11:00:17 GroundStation_Test.py   line:386  INFO  OrbitMode0_3 function ends

2019 04 18 11:00:24 GroundStation_Test.py   line:477  INFO  simpleOrbitMode5_2 function ends

2019 04 18 11:00:24 GroundStation_Test.py   line:482  INFO  simploOrbitMode5_4 function start

2019 04 18 11:00:24 GroundStation_Test.py   line:359  INFO  OrbitMode0_3 function start

2019 04 18 11:00:24 GroundStation_Test.py   line:238  INFO  flyMode4_1 function start

2019 04 18 11:00:49 GroundStation_Test.py   line:301  INFO  flyMode4_1 function ends

2019 04 18 11:00:58 GroundStation_Test.py   line:386  INFO  OrbitMode0_3 function ends

2019 04 18 11:01:03 GroundStation_Test.py   line:494  INFO  simploOrbitMode5_4 function ends

